,Match_number,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Team1_score,Team2,Team2_score,Winning_team,Winning_margin,year,Stadium,City
563,40th match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Night,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,137,Pune Warriors,133,Sunrisers Hyderabad,4 runs,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
564,41st match,"M Chinnaswamy Stadium, Bangalore",Night,Mumbai Indians,Field,RCB,151,Mumbai Indians,153,Mumbai Indians,6 wickets ,2016,M Chinnaswamy Stadium, Bangalore
565,42nd match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Delhi Daredevils,Field,Sunrisers Hyderabad,146,Delhi Daredevils,150,Delhi Daredevils,7 wickets ,2016,Rajiv Gandhi International Stadium, Uppal
566,43rd match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Night,Mumbai Indians,Bat,Mumbai Indians,124,Kings XI Punjab,127,Kings XI Punjab,7 wickets ,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
567,44th match,"M Chinnaswamy Stadium, Bangalore",Evening,Gujarat Lions,Field,RCB,248,Gujarat Lions,104,Royal Challengers Bangalore,144 runs,2016,M Chinnaswamy Stadium, Bangalore
568,45th match,"Eden Gardens, Kolkata",Night,Pune Warriors,Bat,Pune Warriors,103,Kolkata Knight Riders,66,Kolkata Knight Riders,8 wickets ,2016,Eden Gardens, Kolkata
569,46th match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Evening,Kings XI Punjab,Bat,Kings XI Punjab,179,Sunrisers Hyderabad,180,Sunrisers Hyderabad,7 wickets ,2016,Punjab Cricket Association IS Bindra Stadium, Mohali
570,47th match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Night,Delhi Daredevils,Field,Mumbai Indians,206,Delhi Daredevils,126,Mumbai Indians,80 runs,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
571,48th match,"Eden Gardens, Kolkata",Night,Royal Challengers Bangalore,Field,Kolkata Knight Riders,183,RCB,186,Royal Challengers Bangalore,9 wickets ,2016,Eden Gardens, Kolkata
572,49th match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Night,Pune Warriors,Field,Delhi Daredevils,121,Pune Warriors,76,Pune Warriors,19 runs ,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
573,50th match,"M Chinnaswamy Stadium, Bangalore",Night,Kings XI Punjab,Field,RCB,211,Kings XI Punjab,120,Royal Challengers Bangalore,82 runs ,2016,M Chinnaswamy Stadium, Bangalore
574,51st match,"Green Park, Kanpur",Night,Gujarat Lions,Field,Kolkata Knight Riders,124,Gujarat Lions,125,Gujarat Lions,6 wickets ,2016,Green Park, Kanpur
575,52nd match,"Shaheed Veer Narayan Singh International Stadium, Raipur",Night,Delhi Daredevils,Field,Sunrisers Hyderabad,158,Delhi Daredevils,161,Delhi Daredevils,6 wickets ,2016,Shaheed Veer Narayan Singh International Stadium, Raipur
576,53rd match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Evening,Kings XI Punjab,Bat,Kings XI Punjab,172,Pune Warriors,173,Pune Warriors,4 wickets ,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
577,54th match,"Green Park, Kanpur",Night,Gujarat Lions,Field,Mumbai Indians,172,Gujarat Lions,173,Gujarat Lions,6 wickets ,2016,Green Park, Kanpur
578,55th match,"Eden Gardens, Kolkata",Evening,Sunrisers Hyderabad,Field,Kolkata Knight Riders,171,Sunrisers Hyderabad,149,Kolkata Knight Riders,22 runs,2016,Eden Gardens, Kolkata
579,56th match,"Shaheed Veer Narayan Singh International Stadium, Raipur",Night,Royal Challengers Bangalore,Field,Delhi Daredevils,138,RCB,139,Royal Challengers Bangalore,6 wickets ,2016,Shaheed Veer Narayan Singh International Stadium, Raipur
580,Qualifier 1,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Gujarat Lions,158,RCB,159,Royal Challengers Bangalore,4 wickets ,2016,M Chinnaswamy Stadium, Bangalore
581,Eliminator,"Feroz Shah Kotla, Delhi",Night,Kolkata Knight Riders,Field,Sunrisers Hyderabad,162,Kolkata Knight Riders,140,Sunrisers Hyderabad,22 runs,2016,Feroz Shah Kotla, Delhi
582,Qualifier 2,"Feroz Shah Kotla, Delhi",Night,Sunrisers Hyderabad,Field,Gujarat Lions,162,Sunrisers Hyderabad,163,Sunrisers Hyderabad,4 wickets ,2016,Feroz Shah Kotla, Delhi
583,Final,"M Chinnaswamy Stadium, Bangalore",Night,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,208,RCB,200,Sunrisers Hyderabad,8 runs,2016,M Chinnaswamy Stadium, Bangalore
584,1st match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Royal Challengers Bangalore,Field,Sunrisers Hyderabad,207,RCB,172,Sunrisers Hyderabad,35 runs,2017,Rajiv Gandhi International Stadium, Uppal
585,2nd match,"Maharashtra Cricket Association Stadium, Pune",Night,Pune Warriors,Field,Mumbai Indians,184,Pune Warriors,187,Pune Warriors,7 wickets ,2017,Maharashtra Cricket Association Stadium, Pune
586,3rd match,"Saurashtra Cricket Association Stadium, Rajkot",Night,Kolkata Knight Riders,Field,Gujarat Lions,183,Kolkata Knight Riders,184,Kolkata Knight Riders,10 wickets ,2017,Saurashtra Cricket Association Stadium, Rajkot
