,Match_number,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Team1_score,Team2,Team2_score,Winning_team,Winning_margin,year,Stadium,City
270,19th match,"Wankhede Stadium, Mumbai",Night,Delhi Daredevils,Field,Mumbai Indians,92,Delhi Daredevils,93,Delhi Daredevils,7 wickets ,2012,Wankhede Stadium, Mumbai
271,20th match,"Sawai Mansingh Stadium, Jaipur",Evening,Deccan Chargers,Bat,Deccan Chargers,196,Rajasthan Royals,197,Rajasthan Royals,5 wickets ,2012,Sawai Mansingh Stadium, Jaipur
272,21st match,"M Chinnaswamy Stadium, Bangalore",Night,Pune Warriors,Bat,Pune Warriors,182,RCB,186,Royal Challengers Bangalore,6 wickets ,2012,M Chinnaswamy Stadium, Bangalore
273,22nd match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Bat,Kings XI Punjab,124,Kolkata Knight Riders,127,Kolkata Knight Riders,8 wickets ,2012,Punjab Cricket Association Stadium, Mohali
274,23rd match,"Feroz Shah Kotla, Delhi",Evening,Deccan Chargers,Bat,Deccan Chargers,157,Delhi Daredevils,162,Delhi Daredevils,5 wickets ,2012,Feroz Shah Kotla, Delhi
275,24th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Pune Warriors,Field,Chennai Super Kings,164,Pune Warriors,151,Chennai Super Kings,13 runs,2012,MA Chidambaram Stadium,Chennai
276,25th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Royal Challengers Bangalore,Field,Kings XI Punjab,163,RCB,166,Royal Challengers Bangalore,5 wickets ,2012,Punjab Cricket Association Stadium, Mohali
277,26th match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Rajasthan Royals,Bat,Rajasthan Royals,146,Chennai Super Kings,147,Chennai Super Kings,7 wickets ,2012,MA Chidambaram Stadium,Chennai
278,27th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,Pune Warriors,192,Delhi Daredevils,172,Pune Warriors,20 runs,2012,Feroz Shah Kotla, Delhi
279,28th match,"Wankhede Stadium, Mumbai",Evening,Mumbai Indians,Bat,Mumbai Indians,163,Kings XI Punjab,164,Kings XI Punjab,6 wickets ,2012,Wankhede Stadium, Mumbai
280,29th match,"Barabati Stadium, Cuttack",Night,Kolkata Knight Riders,Field,Deccan Chargers,126,Kolkata Knight Riders,127,Kolkata Knight Riders,5 wickets ,2012,Barabati Stadium, Cuttack
281,30th match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Field,RCB,189,Rajasthan Royals,143,Royal Challengers Bangalore,46 runs,2012,Sawai Mansingh Stadium, Jaipur
282,31st match,"Subrata Roy Sahara Stadium, Pune",Evening,Pune Warriors,Bat,Pune Warriors,146,Delhi Daredevils,148,Delhi Daredevils,8 wickets ,2012,Subrata Roy Sahara Stadium, Pune
283,32nd match,"Eden Gardens, Kolkata",Night,no toss,Match Cancelled,Kolkata Knight Riders,0,Deccan Chargers,0,Match cancelled,Match cancelled,2012,Eden Gardens, Kolkata
284,33rd match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Evening,Kings XI Punjab,Bat,Kings XI Punjab,168,Mumbai Indians,171,Mumbai Indians,4 wickets ,2012,Punjab Cricket Association Stadium, Mohali
285,34th match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,RCB,0,Chennai Super Kings,0,No result ,No result ,2012,M Chinnaswamy Stadium, Bangalore
286,35th match,"Subrata Roy Sahara Stadium, Pune",Night,Deccan Chargers,Bat,Deccan Chargers,177,Pune Warriors,159,Deccan Chargers,18 runs,2012,Subrata Roy Sahara Stadium, Pune
287,36th match,"Feroz Shah Kotla, Delhi",Night,Mumbai Indians,Field,Delhi Daredevils,207,Mumbai Indians,170,Delhi Daredevils,37 runs,2012,Feroz Shah Kotla, Delhi
288,37th match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Kings XI Punjab,Bat,Kings XI Punjab,156,Chennai Super Kings,149,Kings XI Punjab,7 runs,2012,MA Chidambaram Stadium,Chennai
289,38th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,190,RCB,143,Kolkata Knight Riders,47 runs,2012,Eden Gardens, Kolkata
290,39th match,"Feroz Shah Kotla, Delhi",Evening,Delhi Daredevils,Bat,Delhi Daredevils,152,Rajasthan Royals,151,Delhi Daredevils,1 run,2012,Feroz Shah Kotla, Delhi
291,40th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Deccan Chargers,100,Mumbai Indians,101,Mumbai Indians,5 wickets ,2012,Wankhede Stadium, Mumbai
292,41st match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,139,Kolkata Knight Riders,140,Kolkata Knight Riders,5 wickets ,2012,MA Chidambaram Stadium,Chennai
293,42nd match,"Barabati Stadium, Cuttack",Evening,Deccan Chargers,Bat,Deccan Chargers,186,Pune Warriors,173,Deccan Chargers,13 runs,2012,Barabati Stadium, Cuttack
294,43rd match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Bat,Rajasthan Royals,141,Delhi Daredevils,144,Delhi Daredevils,6 wickets ,2012,Sawai Mansingh Stadium, Jaipur
295,44th match,"M Chinnaswamy Stadium, Bangalore",Night,Kings XI Punjab,Field,RCB,158,Kings XI Punjab,163,Kings XI Punjab,4 wickets ,2012,M Chinnaswamy Stadium, Bangalore
296,45th match,"Subrata Roy Sahara Stadium, Pune",Night,Mumbai Indians,Bat,Mumbai Indians,120,Pune Warriors,119,Mumbai Indians,1 run,2012,Subrata Roy Sahara Stadium, Pune
297,46th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,160,Deccan Chargers,150,Chennai Super Kings,10 runs,2012,MA Chidambaram Stadium,Chennai
298,47th match,"Eden Gardens, Kolkata",Evening,Kolkata Knight Riders,Bat,Kolkata Knight Riders,150,Pune Warriors,143,Kolkata Knight Riders,7 runs,2012,Eden Gardens, Kolkata
299,48th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Rajasthan Royals,Bat,Rajasthan Royals,177,Kings XI Punjab,134,Rajasthan Royals,43 runs,2012,Punjab Cricket Association Stadium, Mohali
300,49th match,"Wankhede Stadium, Mumbai",Evening,Mumbai Indians,Field,Chennai Super Kings,173,Mumbai Indians,174,Mumbai Indians,2 wickets ,2012,Wankhede Stadium, Mumbai
301,50th match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Deccan Chargers,181,RCB,185,Royal Challengers Bangalore,5 wickets ,2012,M Chinnaswamy Stadium, Bangalore
302,51st match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Bat,Delhi Daredevils,153,Kolkata Knight Riders,154,Kolkata Knight Riders,6 wickets ,2012,Feroz Shah Kotla, Delhi
303,52nd match,"Subrata Roy Sahara Stadium, Pune",Evening,Pune Warriors,Bat,Pune Warriors,125,Rajasthan Royals,126,Rajasthan Royals,7 wickets ,2012,Subrata Roy Sahara Stadium, Pune
304,53rd match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Deccan Chargers,Field,Kings XI Punjab,170,Deccan Chargers,145,Kings XI Punjab,25 runs,2012,Rajiv Gandhi International Stadium, Uppal
305,54th match,"Wankhede Stadium, Mumbai",Night,Royal Challengers Bangalore,Field,Mumbai Indians,141,RCB,142,Royal Challengers Bangalore,9 wickets ,2012,Wankhede Stadium, Mumbai
306,55th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Deccan Chargers,Bat,Deccan Chargers,187,Delhi Daredevils,193,Delhi Daredevils,9 wickets ,2012,Rajiv Gandhi International Stadium, Uppal
307,56th match,"Sawai Mansingh Stadium, Jaipur",Night,Chennai Super Kings,Field,Rajasthan Royals,126,Chennai Super Kings,127,Chennai Super Kings,4 wickets ,2012,Sawai Mansingh Stadium, Jaipur
308,57th match,"Subrata Roy Sahara Stadium, Pune",Night,Pune Warriors,Field,RCB,173,Pune Warriors,138,Royal Challengers Bangalore,35 runs,2012,Subrata Roy Sahara Stadium, Pune
309,58th match,"Eden Gardens, Kolkata",Evening,Mumbai Indians,Bat,Mumbai Indians,182,Kolkata Knight Riders,155,Mumbai Indians,27 runs,2012,Eden Gardens, Kolkata
310,59th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Field,Delhi Daredevils,114,Chennai Super Kings,115,Chennai Super Kings,9 wickets ,2012,MA Chidambaram Stadium,Chennai
311,60th match,"Sawai Mansingh Stadium, Jaipur",Evening,Rajasthan Royals,Bat,Rajasthan Royals,170,Pune Warriors,125,Rajasthan Royals,45 runs,2012,Sawai Mansingh Stadium, Jaipur
312,61st match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Deccan Chargers,Bat,Deccan Chargers,190,Kings XI Punjab,194,Kings XI Punjab,4 wickets ,2012,Punjab Cricket Association Stadium, Mohali
313,62nd match,"M Chinnaswamy Stadium, Bangalore",Evening,Mumbai Indians,Field,RCB,171,Mumbai Indians,173,Mumbai Indians,5 wickets ,2012,M Chinnaswamy Stadium, Bangalore
314,63rd match,"Eden Gardens, Kolkata",Night,Chennai Super Kings,Field,Kolkata Knight Riders,158,Chennai Super Kings,160,Chennai Super Kings,5 wickets ,2012,Eden Gardens, Kolkata
315,64th match,"Feroz Shah Kotla, Delhi",Night,Kings XI Punjab,Bat,Kings XI Punjab,136,Delhi Daredevils,140,Delhi Daredevils,5 wickets ,2012,Feroz Shah Kotla, Delhi
316,65th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Kolkata Knight Riders,140,Mumbai Indians,108,Kolkata Knight Riders,32 runs,2012,Wankhede Stadium, Mumbai
317,66th match,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Evening,Kings XI Punjab,Field,Chennai Super Kings,120,Kings XI Punjab,123,Kings XI Punjab,6 wickets ,2012,Himachal Pradesh Cricket Association Stadium, Dharamsala
318,67th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,RCB,215,Delhi Daredevils,194,Royal Challengers Bangalore,21 runs,2012,Feroz Shah Kotla, Delhi
319,68th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Rajasthan Royals,Bat,Rajasthan Royals,126,Deccan Chargers,128,Deccan Chargers,5 wickets ,2012,Rajiv Gandhi International Stadium, Uppal
320,69th match,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Evening,Delhi Daredevils,Field,Kings XI Punjab,141,Delhi Daredevils,145,Delhi Daredevils,6 wickets ,2012,Himachal Pradesh Cricket Association Stadium, Dharamsala
321,70th match,"Subrata Roy Sahara Stadium, Pune",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,136,Pune Warriors,102,Kolkata Knight Riders,34 runs,2012,Subrata Roy Sahara Stadium, Pune
322,71st match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Royal Challengers Bangalore,Field,Deccan Chargers,132,RCB,123,Deccan Chargers,9 runs,2012,Rajiv Gandhi International Stadium, Uppal
323,72nd match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Bat,Rajasthan Royals,162,Mumbai Indians,163,Mumbai Indians,10 wickets ,2012,Sawai Mansingh Stadium, Jaipur
324,1st Qualifying Match,"Subrata Roy Sahara Stadium, Pune",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,162,Delhi Daredevils,144,Kolkata Knight Riders,18 runs,2012,Subrata Roy Sahara Stadium, Pune
325,Elimination Final,"M Chinnaswamy Stadium, Bangalore",Night,Mumbai Indians,Field,Chennai Super Kings,187,Mumbai Indians,149,Chennai Super Kings,38 runs,2012,M Chinnaswamy Stadium, Bangalore
326,2nd Qualifying Match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Delhi Daredevils,Field,Chennai Super Kings,222,Delhi Daredevils,136,Chennai Super Kings,86 runs,2012,MA Chidambaram Stadium,Chennai
327,Final,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,190,Kolkata Knight Riders,192,Kolkata Knight Riders,5 wickets ,2012,MA Chidambaram Stadium,Chennai
328,1st match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Delhi Daredevils,128,Kolkata Knight Riders,129,Kolkata Knight Riders,6 wickets ,2013,Eden Gardens, Kolkata
329,2nd match,"M Chinnaswamy Stadium, Bangalore",Night,Mumbai Indians,Field,RCB,156,Mumbai Indians,154,Royal Challengers Bangalore,2 runs,2013,M Chinnaswamy Stadium, Bangalore
330,3rd match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Pune Warriors,Field,Sunrisers Hyderabad,126,Pune Warriors,104,Sunrisers Hyderabad,22 runs,2013,Rajiv Gandhi International Stadium, Uppal
331,4th match,"Feroz Shah Kotla, Delhi",Evening,Rajasthan Royals,Bat,Rajasthan Royals,165,Delhi Daredevils,160,Rajasthan Royals,5 runs,2013,Feroz Shah Kotla, Delhi
332,5th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Mumbai Indians,Bat,Mumbai Indians,148,Chennai Super Kings,139,Mumbai Indians,9 runs,2013,MA Chidambaram Stadium,Chennai
333,6th match,"Subrata Roy Sahara Stadium, Pune",Evening,Pune Warriors,Bat,Pune Warriors,99,Kings XI Punjab,100,Kings XI Punjab,8 wickets ,2013,Subrata Roy Sahara Stadium, Pune
334,7th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Royal Challengers Bangalore,Bat,RCB,130,Sunrisers Hyderabad,130,Match tied ,Match tied ,2013,Rajiv Gandhi International Stadium, Uppal
335,8th match,"Sawai Mansingh Stadium, Jaipur",Night,Kolkata Knight Riders,Field,Rajasthan Royals,144,Kolkata Knight Riders,125,Rajasthan Royals,19 runs,2013,Sawai Mansingh Stadium, Jaipur
336,9th match,"M Chinnaswamy Stadium, Bangalore",Evening,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,161,RCB,162,Royal Challengers Bangalore,7 wickets ,2013,M Chinnaswamy Stadium, Bangalore
337,10th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,209,Delhi Daredevils,165,Mumbai Indians,44 runs,2013,Wankhede Stadium, Mumbai
338,11th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Chennai Super Kings,Field,Kings XI Punjab,138,Chennai Super Kings,139,Chennai Super Kings,10 wickets ,2013,Punjab Cricket Association Stadium, Mohali
339,12th match,"M Chinnaswamy Stadium, Bangalore",Evening,Royal Challengers Bangalore,Field,Kolkata Knight Riders,154,RCB,158,Royal Challengers Bangalore,8 wickets ,2013,M Chinnaswamy Stadium, Bangalore
340,13th match,"Subrata Roy Sahara Stadium, Pune",Night,Rajasthan Royals,Bat,Rajasthan Royals,145,Pune Warriors,148,Pune Warriors,7 wickets ,2013,Subrata Roy Sahara Stadium, Pune
341,14th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Bat,Delhi Daredevils,114,Sunrisers Hyderabad,115,Sunrisers Hyderabad,3 wickets ,2013,Feroz Shah Kotla, Delhi
342,15th match,"Wankhede Stadium, Mumbai",Evening,Mumbai Indians,Bat,Mumbai Indians,183,Pune Warriors,142,Mumbai Indians,41 runs,2013,Wankhede Stadium, Mumbai
343,16th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Field,RCB,165,Chennai Super Kings,166,Chennai Super Kings,4 wickets ,2013,MA Chidambaram Stadium,Chennai
344,17th match,"Eden Gardens, Kolkata",Evening,Kolkata Knight Riders,Bat,Kolkata Knight Riders,180,Sunrisers Hyderabad,132,Kolkata Knight Riders,48 runs,2013,Eden Gardens, Kolkata
345,18th match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Field,Kings XI Punjab,124,Rajasthan Royals,126,Rajasthan Royals,6 wickets ,2013,Sawai Mansingh Stadium, Jaipur
346,19th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Pune Warriors,Bat,Pune Warriors,159,Chennai Super Kings,135,Pune Warriors,24 runs,2013,MA Chidambaram Stadium,Chennai
347,20th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Evening,Kolkata Knight Riders,Field,Kings XI Punjab,157,Kolkata Knight Riders,153,Kings XI Punjab,4 runs,2013,Punjab Cricket Association Stadium, Mohali
348,21st match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Delhi Daredevils,152,RCB,152,Match tied ,Match tied ,2013,M Chinnaswamy Stadium, Bangalore
349,22nd match,"Subrata Roy Sahara Stadium, Pune",Evening,Pune Warriors,Field,Sunrisers Hyderabad,119,Pune Warriors,108,Sunrisers Hyderabad,11 runs,2013,Subrata Roy Sahara Stadium, Pune
350,23rd match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Bat,Rajasthan Royals,179,Mumbai Indians,92,Rajasthan Royals,87 runs,2013,Sawai Mansingh Stadium, Jaipur
351,24th match,"Feroz Shah Kotla, Delhi",Night,Chennai Super Kings,Bat,Chennai Super Kings,169,Delhi Daredevils,83,Chennai Super Kings,86 runs,2013,Feroz Shah Kotla, Delhi
352,25th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Kings XI Punjab,Bat,Kings XI Punjab,123,Sunrisers Hyderabad,127,Sunrisers Hyderabad,5 wickets ,2013,Rajiv Gandhi International Stadium, Uppal
353,26th match,"Eden Gardens, Kolkata",Evening,Kolkata Knight Riders,Bat,Kolkata Knight Riders,119,Chennai Super Kings,124,Chennai Super Kings,4 wickets ,2013,Eden Gardens, Kolkata
354,27th match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Rajasthan Royals,117,RCB,123,Royal Challengers Bangalore,7 wickets ,2013,M Chinnaswamy Stadium, Bangalore
355,28th match,"Feroz Shah Kotla, Delhi",Evening,Mumbai Indians,Bat,Mumbai Indians,161,Delhi Daredevils,165,Delhi Daredevils,9 wickets ,2013,Feroz Shah Kotla, Delhi
356,29th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Field,Pune Warriors,185,Kings XI Punjab,186,Kings XI Punjab,7 wickets ,2013,Punjab Cricket Association Stadium, Mohali
357,30th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Rajasthan Royals,Bat,Rajasthan Royals,185,Chennai Super Kings,186,Chennai Super Kings,5 wickets ,2013,MA Chidambaram Stadium,Chennai
358,31st match,"M Chinnaswamy Stadium, Bangalore",Evening,Pune Warriors,Field,RCB,263,Pune Warriors,133,Royal Challengers Bangalore,130 runs,2013,M Chinnaswamy Stadium, Bangalore
359,32nd match,"Feroz Shah Kotla, Delhi",Night,Kings XI Punjab,Field,Delhi Daredevils,120,Kings XI Punjab,121,Kings XI Punjab,5 wickets ,2013,Feroz Shah Kotla, Delhi
360,33rd match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,159,Mumbai Indians,162,Mumbai Indians,5 wickets ,2013,Eden Gardens, Kolkata
361,34th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,159,Chennai Super Kings,160,Chennai Super Kings,5 wickets ,2013,MA Chidambaram Stadium,Chennai
362,35th match,"Eden Gardens, Kolkata",Night,Kings XI Punjab,Bat,Kings XI Punjab,149,Kolkata Knight Riders,150,Kolkata Knight Riders,6 wickets ,2013,Eden Gardens, Kolkata
363,36th match,"Sawai Mansingh Stadium, Jaipur",Evening,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,144,Rajasthan Royals,146,Rajasthan Royals,8 wickets ,2013,Sawai Mansingh Stadium, Jaipur
364,37th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,194,RCB,136,Mumbai Indians,58 runs,2013,Wankhede Stadium, Mumbai
365,38th match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Kolkata Knight Riders,Field,Chennai Super Kings,200,Kolkata Knight Riders,186,Chennai Super Kings,14 runs,2013,MA Chidambaram Stadium,Chennai
366,39th match,"Shaheed Veer Narayan Singh International Stadium, Raipur",Night,Pune Warriors,Field,Delhi Daredevils,164,Pune Warriors,149,Delhi Daredevils,15 runs,2013,Shaheed Veer Narayan Singh International Stadium, Raipur
367,40th match,"Sawai Mansingh Stadium, Jaipur",Evening,Rajasthan Royals,Field,RCB,171,Rajasthan Royals,173,Rajasthan Royals,4 wickets ,2013,Sawai Mansingh Stadium, Jaipur
368,41st match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,174,Kings XI Punjab,170,Mumbai Indians,4 runs,2013,Wankhede Stadium, Mumbai
369,42nd match,"Subrata Roy Sahara Stadium, Pune",Night,Chennai Super Kings,Bat,Chennai Super Kings,164,Pune Warriors,127,Chennai Super Kings,37 runs,2013,Subrata Roy Sahara Stadium, Pune
370,43rd match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Mumbai Indians,Bat,Mumbai Indians,129,Sunrisers Hyderabad,130,Sunrisers Hyderabad,7 wickets ,2013,Rajiv Gandhi International Stadium, Uppal
371,44th match,"Shaheed Veer Narayan Singh International Stadium, Raipur",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,136,Delhi Daredevils,137,Delhi Daredevils,7 wickets ,2013,Shaheed Veer Narayan Singh International Stadium, Raipur
372,45th match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Chennai Super Kings,Bat,Chennai Super Kings,186,Kings XI Punjab,171,Chennai Super Kings,15 runs,2013,MA Chidambaram Stadium,Chennai
373,46th match,"Subrata Roy Sahara Stadium, Pune",Night,Royal Challengers Bangalore,Bat,RCB,187,Pune Warriors,170,Royal Challengers Bangalore,17 runs,2013,Subrata Roy Sahara Stadium, Pune
374,47th match,"Eden Gardens, Kolkata",Night,Rajasthan Royals,Bat,Rajasthan Royals,132,Kolkata Knight Riders,133,Kolkata Knight Riders,8 wickets ,2013,Eden Gardens, Kolkata
375,48th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Delhi Daredevils,Bat,Delhi Daredevils,80,Sunrisers Hyderabad,81,Sunrisers Hyderabad,6 wickets ,2013,Rajiv Gandhi International Stadium, Uppal
376,49th match,"Wankhede Stadium, Mumbai",Evening,Mumbai Indians,Bat,Mumbai Indians,139,Chennai Super Kings,79,Mumbai Indians,60 runs,2013,Wankhede Stadium, Mumbai
377,50th match,"Sawai Mansingh Stadium, Jaipur",Night,Pune Warriors,Bat,Pune Warriors,178,Rajasthan Royals,182,Rajasthan Royals,5 wickets ,2013,Sawai Mansingh Stadium, Jaipur
378,51st match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Field,RCB,190,Kings XI Punjab,194,Kings XI Punjab,6 wickets ,2013,Punjab Cricket Association Stadium, Mohali
379,52nd match,"Sawai Mansingh Stadium, Jaipur",Evening,Delhi Daredevils,Bat,Delhi Daredevils,154,Rajasthan Royals,155,Rajasthan Royals,9 wickets ,2013,Sawai Mansingh Stadium, Jaipur
380,53rd match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,170,Kolkata Knight Riders,105,Mumbai Indians,65 runs,2013,Wankhede Stadium, Mumbai
381,54th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Sunrisers Hyderabad,Field,Chennai Super Kings,223,Sunrisers Hyderabad,146,Chennai Super Kings,77 runs,2013,Rajiv Gandhi International Stadium, Uppal
382,55th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Evening,Rajasthan Royals,Field,Kings XI Punjab,145,Rajasthan Royals,147,Rajasthan Royals,8 wickets ,2013,Punjab Cricket Association Stadium, Mohali
383,56th match,"Subrata Roy Sahara Stadium, Pune",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,152,Pune Warriors,106,Kolkata Knight Riders,46 runs,2013,Subrata Roy Sahara Stadium, Pune
384,57th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,RCB,183,Delhi Daredevils,179,Royal Challengers Bangalore,4 runs,2013,Feroz Shah Kotla, Delhi
385,58th match,"Subrata Roy Sahara Stadium, Pune",Evening,Pune Warriors,Bat,Pune Warriors,112,Mumbai Indians,116,Mumbai Indians,5 wickets ,2013,Subrata Roy Sahara Stadium, Pune
386,59th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Field,Sunrisers Hyderabad,150,Kings XI Punjab,120,Sunrisers Hyderabad,30 runs,2013,Punjab Cricket Association Stadium, Mohali
387,60th match,"JSCA International Stadium Complex, Ranchi",Evening,Kolkata Knight Riders,Field,RCB,115,Kolkata Knight Riders,116,Kolkata Knight Riders,5 wickets ,2013,JSCA International Stadium Complex, Ranchi
388,61st match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Field,Chennai Super Kings,141,Rajasthan Royals,144,Rajasthan Royals,5 wickets ,2013,Sawai Mansingh Stadium, Jaipur
389,62nd match,"Wankhede Stadium, Mumbai",Night,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,178,Mumbai Indians,184,Mumbai Indians,7 wickets ,2013,Wankhede Stadium, Mumbai
390,63rd match,"M Chinnaswamy Stadium, Bangalore",Evening,Kings XI Punjab,Field,RCB,174,Kings XI Punjab,176,Kings XI Punjab,7 wickets ,2013,M Chinnaswamy Stadium, Bangalore
391,64th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,168,Delhi Daredevils,135,Chennai Super Kings,33 runs,2013,MA Chidambaram Stadium,Chennai
392,65th match,"JSCA International Stadium Complex, Ranchi",Evening,Kolkata Knight Riders,Field,Pune Warriors,170,Kolkata Knight Riders,163,Pune Warriors,7 runs,2013,JSCA International Stadium Complex, Ranchi
393,66th match,"Wankhede Stadium, Mumbai",Night,Rajasthan Royals,Field,Mumbai Indians,166,Rajasthan Royals,152,Mumbai Indians,14 runs,2013,Wankhede Stadium, Mumbai
394,67th match,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Night,Delhi Daredevils,Field,Kings XI Punjab,171,Delhi Daredevils,164,Kings XI Punjab,7 runs,2013,Himachal Pradesh Cricket Association Stadium, Dharamsala
395,68th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,136,Rajasthan Royals,113,Sunrisers Hyderabad,23 runs,2013,Rajiv Gandhi International Stadium, Uppal
396,69th match,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Evening,Mumbai Indians,Field,Kings XI Punjab,183,Mumbai Indians,133,Kings XI Punjab,50 runs,2013,Himachal Pradesh Cricket Association Stadium, Dharamsala
397,70th match,"M Chinnaswamy Stadium, Bangalore",Night,Chennai Super Kings,Field,RCB,106,Chennai Super Kings,82,Royal Challengers Bangalore,24 runs,2013,M Chinnaswamy Stadium, Bangalore
398,71st match,"Subrata Roy Sahara Stadium, Pune",Evening,Pune Warriors,Bat,Pune Warriors,172,Delhi Daredevils,134,Pune Warriors,38 runs,2013,Subrata Roy Sahara Stadium, Pune
399,72nd match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,130,Sunrisers Hyderabad,132,Sunrisers Hyderabad,5 wickets ,2013,Rajiv Gandhi International Stadium, Uppal
400,Qualifier 1,"Feroz Shah Kotla, Delhi",Night,Chennai Super Kings,Bat,Chennai Super Kings,192,Mumbai Indians,144,Chennai Super Kings,48 runs,2013,Feroz Shah Kotla, Delhi
